,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
A115,"Cracker, salted, round",Per 100 g,505,7.2,24.7,63.4,2.9,962,100,PH
A116,Cream puff,Per 100 g,293,5.4,7.5,50.9,0.9,278,100,PH
A117,"Curls, bbq flvr",Per 100 g,455,7.8,15.5,71.1,2.2,886,100,PH
A119,"Curls, cheese flvr",Per 100 g,447,7.6,15.4,69.5,2.1,871,100,PH
A121,"Curls, prawn flvr",Per 100 g,483,7.2,20.2,68.0,2.2,902,100,PH
A122,"Curls, shrimp flvr",Per 100 g,419,6.6,9.0,77.9,2.2,881,100,PH
A124,"Doughnut, fried, w/ sugar",Per 100 g,431,7.5,22.7,49.2,1.5,404,100,PH
A125,Gurgurya,Per 100 g,515,6.7,26.5,62.4,2.4,560,100,PH
A126,Hominy,Per 100 g,126,3.0,1.4,25.4,4.3,596,100,PH
A127,Hopyang baboy,Per 100 g,414,5.0,13.1,69.1,1.0,125,100,PH
A128,Hopyang Hapon,Per 100 g,352,8.7,5.7,66.4,1.3,18,100,PH
A129,Hopyang munggo,Per 100 g,383,6.5,12.0,62.3,1.2,18,100,PH
A130,Karyoka,Per 100 g,359,4.2,12.1,58.2,1.0,7,100,PH
A131,"Lohuwa, peanut",Per 100 g,500,16.9,25.6,50.6,0.6,428,100,PH
A132,"Lohuwa, rice",Per 100 g,415,3.4,8.4,81.4,0.6,424,100,PH
A133,"Lohuwa, sesame seed",Per 100 g,473,10.7,19.1,64.5,0.6,434,100,PH
A134,"Noodles, mung bean starch",Per 100 g,345,0.2,0.2,85.5,0.5,7,100,PH
A135,"Noodles, mung bean starch, boiled",Per 100 g,78,0.0,0.1,19.3,0.1,2,100,PH
A136,"Noodles, rice, fideos",Per 100 g,357,9.6,0.4,78.7,1.6,6,100,PH
A137,"Noodles, rice",Per 100 g,353,2.7,0.5,84.5,1.6,13,100,PH
A138,"Noodles, rice, boiled",Per 100 g,115,0.5,0.6,26.9,1.1,4,100,PH
A140,"Noodles, wheat, canton, dry",Per 100 g,487,12.8,23.2,56.8,3.6,676,100,PH
A141,"Noodles, wheat, mami, fresh",Per 100 g,73,6.8,0.2,10.9,0.8,178,100,PH
A142,"Noodles, wheat, inst, w/ flvr",Per 100 g,433,10.4,18.1,57.1,2.9,1956,100,PH
A143,"Noodles, wheat, inst, w/ flvr, fortified",Per 100 g,465,9.2,22.3,56.8,3.0,1903,100,PH
A144,"Noodles, wheat, thin",Per 100 g,344,12.2,0.3,73.0,4.2,1406,100,PH
A145,"Noodles, wheat, thin, boiled",Per 100 g,100,0.9,0.1,23.8,1.2,395,100,PH
A146,"Noodles, wheat, miki, dry",Per 100 g,472,12.4,22.4,55.3,3.3,440,100,PH
A147,"Noodles, wheat, miki, dry, boiled",Per 100 g,110,1.7,2.9,19.2,0.9,4,100,PH
A148,"Oatmeal, instant",Per 100 g,394,10.0,4.7,77.9,10.5,231,100,PH
A149,"Oats, quick-cooking",Per 100 g,423,11.4,9.1,73.8,10.9,6,100,PH
A150,"Oats, quick-cooking, ckd",Per 100 g,60,1.6,1.1,11.0,1.4,3,100,PH
A151,Pancake,Per 100 g,269,8.4,7.6,41.8,2.3,554,100,PH
A152,"Pasta, macaroni",Per 100 g,353,14.3,0.2,73.5,3.1,2,100,PH
A153,"Pasta, spaghetti",Per 100 g,361,12.4,1.1,75.4,3.2,6,100,PH
A154,"Pasta, spaghetti, boiled",Per 100 g,156,5.5,0.1,33.3,1.9,1,100,PH
A155,"Popcorn and peanuts, sweetn",Per 100 g,447,5.1,12.8,77.8,3.8,177,100,PH
A156,"Popcorn, salted",Per 100 g,471,6.7,18.6,69.2,9.9,875,100,PH
A157,"Popcorn, sweetn",Per 100 g,443,4.0,11.0,81.9,5.2,207,100,PH
A158,"Pretzel, choc-coated",Per 100 g,475,8.1,18.6,68.8,3.5,498,100,PH
A159,"Pretzel, sweetn",Per 100 g,442,8.5,11.1,76.9,2.4,578,100,PH
A160,"Pudding, pineapple",Per 100 g,268,4.7,1.7,58.5,2.1,0,100,PH
A161,"Pudding, raisin",Per 100 g,221,8.1,2.9,40.5,1.2,116,100,PH
A162,"Pudding, vanilla",Per 100 g,286,6.2,1.5,61.8,0.0,354,100,PH
A163,"Puffs, bbq flvr",Per 100 g,445,7.5,14.6,70.9,2.1,865,100,PH
A164,"Puffs, cheese flvr",Per 100 g,503,6.0,26.5,60.0,2.1,872,100,PH
A165,"Puffs, chicken flvr",Per 100 g,449,6.8,13.4,75.2,2.2,889,100,PH
A166,"Puffs, spiced",Per 100 g,418,7.4,8.9,77.0,2.2,881,100,PH
A167,"Rice cake (glutinous), bibingka",Per 100 g,256,2.8,1.0,59.0,2.1,69,100,PH
A168,"Rice cake (glutinous), biko",Per 100 g,252,2.2,0.9,58.7,2.0,94,100,PH
A169,"Rice cake (glutinous), biko, w/ grtd coconut topping",Per 100 g,246,3.3,1.6,54.7,2.1,92,100,PH
A170,"Rice cake (glutinous), biko, w/ purple rice",Per 100 g,227,2.6,0.4,53.2,1.4,177,100,PH
A171,"Rice cake (glutinous), Chinese, tikoy",Per 100 g,250,2.5,0.3,59.4,1.2,4,100,PH
A172,"Rice cake (glutinous), Chinese, tikoy, w/ peanut",Per 100 g,247,6.4,1.8,51.4,1.4,4,100,PH
A173,"Rice cake, bibingka",Per 100 g,234,3.6,0.9,52.9,0.8,139,100,PH
A174,"Rice cake, bibingka, w/ cheese & coconut topping",Per 100 g,223,2.8,2.6,47.2,1.0,313,100,PH
A175,"Rice cake, puto bumbong, purple",Per 100 g,252,3.5,1.3,56.5,1.7,71,100,PH
A176,"Rice cake, puto, brown",Per 100 g,206,2.0,0.1,49.3,1.5,225,100,PH
A177,"Rice cake, puto, white",Per 100 g,214,2.8,0.3,49.9,1.5,225,100,PH
A178,"Rice cake, puto, white, w/ grtd coconut topping",Per 100 g,209,2.7,1.1,47.1,2.1,205,100,PH
A179,"Rice cake, cuchinta",Per 100 g,166,1.4,0.8,38.4,0.7,86,100,PH
A180,"Rice cake, cuchinta, w/ grtd coconut topping",Per 100 g,165,1.6,3.2,32.4,1.6,78,100,PH
A181,Rice flour,Per 100 g,358,7.6,0.3,81.3,2.4,3,100,PH
A182,"Rice flour prep, tamales",Per 100 g,101,1.3,0.9,21.8,2.2,230,100,PH
A183,"Rice gruel, thin",Per 100 g,71,1.4,1.1,13.9,0.1,1,100,PH
A184,"Rice prep (glutinous), butse, w/ mung bean filling",Per 100 g,329,6.4,12.0,48.9,2.9,6,100,PH
A185,"Rice prep (glutinous), butse, w/ sweet potato filling",Per 100 g,310,5.6,8.2,53.5,2.0,13,100,PH
A186,"Rice prep (glutinous), kalamay, w/ coconut curd topping",Per 100 g,208,2.7,0.4,48.5,2.1,16,100,PH
A187,"Rice prep (glutinous), kalamay, w/ yam",Per 100 g,178,2.2,0.3,41.7,2.3,8,100,PH
A188,"Rice prep (glutinous), palitaw",Per 100 g,206,2.6,2.8,42.5,1.4,4,100,PH
A189,"Rice prep (glutinous), palitaw, w/ grtd coconut & sugar",Per 100 g,213,2.6,4.5,40.5,2.0,5,100,PH
A190,"Rice prep (glutinous), sapin-sapin",Per 100 g,129,1.1,0.4,30.3,2.0,26,100,PH
A191,"Rice prep (glutinous), suman sa ibos",Per 100 g,171,3.1,0.7,38.0,2.2,367,100,PH
A192,"Rice prep (glutinous), suman, lye-treated",Per 100 g,191,3.2,0.4,43.6,1.4,82,100,PH
A193,"Rice prep (glutinous), suman, w/ grtd coconut topping",Per 100 g,211,2.6,2.4,44.8,2.4,12,100,PH
A194,"Rice prep (glutinous), tupig",Per 100 g,300,3.6,2.6,65.6,2.3,11,100,PH
A195,"Rice prep, espasol",Per 100 g,312,4.0,3.6,65.8,2.1,124,100,PH
A196,"Rice water, ckd, thin",Per 100 g,17,0.1,0.2,3.8,0.0,0,100,PH
A197,"Rice, crispies",Per 100 g,373,3.0,0.6,88.8,0.4,519,100,PH
A198,"Rice-bread prep, toasted, puto seko",Per 100 g,388,6.0,1.8,87.0,0.8,469,100,PH
A199,"Rice-bread prep, toasted, puto seko, w/ grtd coconut",Per 100 g,402,4.4,5.5,83.8,1.5,427,100,PH
A200,"Spring roll wrapper, plain",Per 100 g,316,10.6,0.5,67.2,2.0,140,100,PH
A201,"Wheat flour, all-purpose",Per 100 g,352,12.6,0.8,73.7,2.7,4,100,PH
A202,"Wheat flour, all-purpose, enr, bleached",Per 100 g,377,11.0,3.6,75.2,2.8,2,100,PH
A203,"Wheat flour, cake flour, enr, bleached",Per 100 g,370,8.9,1.7,79.7,1.8,2,100,PH
A204,"Instant noodles, chicken flvr, raw",Per 100 g,429,10.5,17.5,57.3,2.5,2910,100,PH
A205,"Instant noodles, chicken flvr, ckd",Per 100 g,48,1.3,2.1,6.0,0.0,320,100,PH
B001,Cassava,Per 100 g,145,0.6,0.2,35.3,1.7,2,100,PH
B002,"Cassava, boiled",Per 100 g,111,0.4,0.1,27.1,1.3,3,100,PH
B003,"Cassava, yellow",Per 100 g,155,0.7,0.2,37.7,1.7,14,100,PH
B004,East Indian arrowroot,Per 100 g,144,3.1,0.1,32.6,2.5,50,100,PH
B005,"East Indian arrowroot, boiled",Per 100 g,88,3.1,0.2,18.5,1.5,31,100,PH
B006,Palauan,Per 100 g,153,0.5,0.2,37.3,5.4,14,100,PH
B007,Potato,Per 100 g,78,2.4,0.1,16.8,2.1,29,100,PH
B008,"Potato, boiled",Per 100 g,63,1.7,0.1,13.7,1.3,4,100,PH
B009,"Sweet potato, purple",Per 100 g,125,0.6,0.4,29.8,4.2,1,100,PH
B010,"Sweet potato, purple, boiled",Per 100 g,122,0.6,0.2,29.5,4.0,43,100,PH
B011,"Sweet potato, white",Per 100 g,105,0.7,0.5,24.3,3.5,3,100,PH
B012,"Sweet potato, white, boiled",Per 100 g,126,0.4,0.8,29.3,3.9,42,100,PH
B013,"Sweet potato, yellow",Per 100 g,135,1.1,0.4,31.8,4.6,4,100,PH
B014,"Sweet potato, yellow, boiled",Per 100 g,128,0.5,0.3,30.7,4.0,43,100,PH
B015,Taro,Per 100 g,141,2.3,0.2,32.6,5.0,13,100,PH
B016,"Taro, boiled",Per 100 g,105,1.5,0.1,24.4,3.7,11,100,PH
B017,White spot arum,Per 100 g,61,3.1,0.2,11.7,2.1,5,100,PH
B018,"Yam, Luzon",Per 100 g,99,2.5,0.1,22.1,3.4,7,100,PH
B019,"Yam, nami",Per 100 g,105,2.3,0.3,23.3,3.6,8,100,PH
B020,"Yam, purple",Per 100 g,97,1.7,0.2,22.2,3.4,7,100,PH
B021,"Yam, purple, boiled",Per 100 g,77,0.7,0.1,18.2,2.6,5,100,PH
B022,"Yam, spiny",Per 100 g,141,1.0,2.7,28.2,4.4,10,100,PH
B023,"Yam, spiny, boiled",Per 100 g,69,0.4,1.2,14.1,2.1,4,100,PH
B024,Yautia,Per 100 g,122,0.8,0.1,29.4,1.7,24,100,PH
B025,Arrowroot starch,Per 100 g,351,0.1,0.5,86.4,3.4,2,100,PH
B026,"Cassava cake, bibingka",Per 100 g,181,0.4,0.3,44.1,1.6,26,100,PH
B027,Cassava flour,Per 100 g,362,1.1,0.7,87.8,0.9,1,100,PH
B028,Cassava fritter,Per 100 g,360,0.7,10.0,66.7,5.0,295,100,PH
B029,Cassava pudding,Per 100 g,203,1.2,0.5,48.4,0.0,261,100,PH
B030,"Cassava, mashed, w/ sugar & marg",Per 100 g,183,0.4,1.3,42.4,1.3,60,100,PH
B031,"Cassava, suman",Per 100 g,210,0.5,1.4,48.9,1.4,6,100,PH
B032,East Indian arrowroot starch,Per 100 g,348,0.1,0.5,85.8,3.3,2,100,PH
B033,"Potato chips, cheese flvr",Per 100 g,556,6.2,36.0,51.8,5.1,720,100,PH
B034,"Potato, French-fried",Per 100 g,328,3.7,16.8,40.5,3.9,187,100,PH
B035,Tapioca starch ball,Per 100 g,341,0.4,1.1,82.4,0.5,11,100,PH
B036,"Tapioca starch ball, boiled",Per 100 g,83,0.0,0.2,20.3,0.1,3,100,PH
B037,"Sweet potato, w/ sugar, fried",Per 100 g,239,1.1,6.9,43.1,4.3,7,100,PH
B038,"Yam, nami, brined",Per 100 g,66,1.0,0.2,15.0,2.2,136,100,PH
B039,"Yam, nami, dried",Per 100 g,351,6.6,0.4,80.3,11.9,26,100,PH
B040,"Yam, purple, pudding",Per 100 g,187,1.2,0.8,43.8,1.7,12,100,PH
B041,"Yam, purple, pudding,w/ grtd coconut topping",Per 100 g,191,1.7,1.2,43.4,2.0,14,100,PH
B042,"Yacon tuber, raw",Per 100 g,35,0.4,0.1,8.1,0.7,27,100,PH
B043,"Sweet potato, orange",Per 100 g,121,1.1,0.3,28.4,2.9,83,100,PH
C002,"Cashew nut, roasted",Per 100 g,603,19.2,47.4,24.8,2.9,15,100,PH
C003,"Chestnut, roasted",Per 100 g,256,5.0,1.2,56.4,5.5,5,100,PH
C004,"Chickpea, dried",Per 100 g,377,19.2,6.2,61.2,11.8,7,100,PH
C005,"Chickpea, dried, boiled",Per 100 g,198,5.7,2.0,39.2,9.1,8,100,PH
C006,"Coconut meat, mature",Per 100 g,319,3.9,26.1,17.2,8.2,18,100,PH
C007,"Coconut meat, very young",Per 100 g,42,0.8,1.3,6.8,0.6,10,100,PH
C008,"Coconut meat, young",Per 100 g,102,1.4,5.3,12.1,1.2,21,100,PH
C009,Coconut sport,Per 100 g,226,2.4,17.6,14.5,2.1,38,100,PH
C010,"Cowpea seed, dried",Per 100 g,358,20.4,1.5,65.8,11.0,15,100,PH
C011,"Davao wonder bean seed, dried",Per 100 g,351,23.4,2.7,58.3,10.5,16,100,PH
C014,"Coastal jack-bean seed, dried",Per 100 g,364,24.1,2.8,60.7,25.4,13,100,PH
C015,"Coastal jack-bean seed, dried, boiled",Per 100 g,170,9.6,1.1,30.3,8.0,7,100,PH
C016,"Java olive seed, dried",Per 100 g,603,15.4,45.0,34.1,12.8,1,100,PH
C017,"Kaatoan bangkal seed, dried",Per 100 g,339,14.4,0.4,69.5,-,-,100,PH
C018,"Kidney bean seed, black, dried",Per 100 g,374,20.2,1.9,69.1,16.5,5,100,PH
C019,"Kidney bean seed, black, dried, boiled",Per 100 g,117,3.9,0.6,24.1,7.6,1,100,PH
C020,"Kidney bean seed, red, dried",Per 100 g,348,19.3,1.5,64.2,15.2,12,100,PH
C021,"Kidney bean seed, red, dried, boiled",Per 100 g,138,7.9,0.9,24.6,7.9,2,100,PH
C022,"Kidney bean seed, white, dried",Per 100 g,354,18.8,1.1,67.1,15.5,16,100,PH
C023,"Kidney bean seed, white, dried, boiled",Per 100 g,142,6.5,0.7,27.3,6.1,6,100,PH
C024,"Lima bean seed, dried",Per 100 g,348,19.8,1.0,64.9,19.0,18,100,PH
C025,"Marang seed, dried",Per 100 g,305,7.4,12.5,40.7,7.4,36,100,PH
C026,"Marang seed, dried, boiled",Per 100 g,238,5.7,7.6,36.6,6.0,29,100,PH
C027,"Mung bean seed, green, dried",Per 100 g,348,23.2,1.6,60.1,18.4,24,100,PH
C028,"Mung bean seed, green, dried, boiled",Per 100 g,155,11.0,0.3,27.1,11.1,3,100,PH
C029,"Mung bean seed, red, dried",Per 100 g,347,22.2,1.0,62.2,18.4,24,100,PH
C030,"Mung bean seed, red, dried, boiled",Per 100 g,150,6.9,0.7,28.9,10.6,3,100,PH
C031,"Mung bean seed, yellow, dried",Per 100 g,365,23.5,1.4,64.5,19.3,25,100,PH
C032,"Mung bean seed, yellow, dried, boiled",Per 100 g,116,7.2,0.3,21.1,8.3,2,100,PH
C033,"Negro coffee seed, dried",Per 100 g,373,17.5,2.6,69.8,-,-,100,PH
C034,Peanut w/ shell,Per 100 g,401,17.4,26.6,22.9,6.2,13,100,PH
C035,"Peanut w/ shell, boiled",Per 100 g,315,13.0,22.4,15.3,4.7,10,100,PH
C036,"Peanut w/ skin, roasted",Per 100 g,621,32.1,50.7,9.1,8.1,6,100,PH
C037,Peanut w/o skin,Per 100 g,617,25.8,49.5,17.1,8.6,18,100,PH
C038,"Peanut w/o skin, roasted",Per 100 g,629,33.2,51.8,7.6,8.2,6,100,PH
C039,"Pigeon pea seed, dried",Per 100 g,348,21.2,1.2,63.2,15.0,17,100,PH
C040,"Pigeon pea seed, dried, boiled",Per 100 g,125,5.7,0.6,24.3,6.8,5,100,PH
C041,Pili nut,Per 100 g,699,14.2,68.5,6.4,-,3,100,PH
C042,"Rice bean seed, dried",Per 100 g,356,18.4,3.1,63.7,16.0,9,100,PH
C043,"Sesame seed, dried",Per 100 g,642,25.1,53.5,15.1,12.0,36,100,PH
C044,"Soybean seed, dried",Per 100 g,442,35.8,17.2,35.9,9.5,2,100,PH
C045,"Soybean seed, black, dried",Per 100 g,451,36.6,19.8,31.6,9.5,38,100,PH
C046,"Soybean seed, black, dried, boiled",Per 100 g,241,15.3,6.1,31.2,8.8,2,100,PH
C047,"Soybean seed, yellow, dried",Per 100 g,456,35.8,19.5,34.2,9.6,33,100,PH
C048,"Soybean seed, yellow, dried, boiled",Per 100 g,267,12.4,6.9,38.9,9.6,2,100,PH
