,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size
40,"Abalone, canned, drained",Can (212g),178.08,36.46,1.06,5.94,0,1411.92,212
41,"Abalone, dried",Teaspoon (10.5g),31.82,6.77,0.21,0.3,0,315,10.5
42,"Abalone, raw",Whole (64g),15.62,3.33,0.1,0.15,0,122.88,64
43,"Abalone, soup",Bowl-soup (16 and 1/2 cm) (203.71g),93.71,12.22,4.07,2.04,1.02,1045.03,203.71
44,Abok abok sago,Piece (1g),3.72,0.03,0.17,0.5,0.04,3.96,1
45,Acai bowl,Bowl-soup (16 and 1/2 cm) (347g),374.76,7.98,13.91,54.13,7.98,63.5,347
46,Achar,Plate-23cm (174.3g),166.67,2.98,3.14,36.08,2.98,945.93,174.3
47,"African bream, fried in chilli",Piece (60g),146.4,11.9,8.96,4.48,0.05,183.76,60
48,"Agar-agar, plain",Piece (50g),38.5,0.1,0.1,9.3,0.25,3.5,50
49,Agedeshi tofu,Plate-16cm (12g),15.08,0.47,1.19,0.63,0.07,15.7,12
50,Aiyu Dessert with Red Bean Toppings,1 portion (359g),376.95,1.8,24.38,37.7,4.31,32.17,359
51,"Ajinomoto, MSG",Teaspoon (5g),0,0,0,0,0,615,5
52,Ale,Can (500g),177.05,2,0,7,0,50,500
53,"Allspice, ground",Tablespoon (6g),15.78,0.37,0.52,3.03,1.3,4.62,6
54,Almond jelly,1 portion (200g),150,2.4,1.2,32.8,0,28,200
55,Almond paste,Bowl-dessert (15 cm) (262g),214.84,5.5,11.27,23.06,1.57,30.65,262
56,Aloe vera,Slice (100g),2.31,0,0,0.57,0.01,16.24,100
57,Aloe vera drink,Bottle (523g),172.59,0,0,43.93,0.52,10.46,523
58,Aloe vera with jelly dessert,Bowl-dessert (15 cm) (460.79g),122.29,0,0,30.57,0.22,3.98,460.79
59,Amocan Singapore Rendang Paste,Tablespoon (15g),44.7,0.42,3.05,3.92,0.77,96.3,15
60,"Anchovy, canned in oil, drained",Whole (3.6g),6.56,0.91,0.32,0,0,197.28,3.6
61,"Anchovy, dried, fried",Plate-16cm (27g),125.28,14.29,7.57,0,0,1244.7,27
62,"Anchovy, dried, with peanut, fried",1 portion (100g),554.97,37.1,42.3,6.5,5.5,2120,100
63,"Anchovy, fresh, whole",Whole (11.2g),3.81,0.8,0.05,0.03,0,27.6,11.2
64,"Anchovy, minus head and entrail, dried, raw",Whole (.3g),0.79,0.18,0.01,0,0,11.91,0.3
65,"Anchovy, whole, dried, raw",Whole (.1g),0.26,0.06,0,0,0,0.36,0.1
66,Ang koo kueh,Piece (67.8g),239.3,6,12.2,26.3,3.25,35.93,67.8
67,"Ang koo kueh, green bean fillling",Piece (51g),144.84,2.09,4.28,24.48,1.53,14.28,51
68,"Ang koo kueh, peanut filling",Piece (67.8g),239.33,6.03,12.2,26.31,3.25,35.93,67.8
69,"Anise seeds, dried",Teaspoon (2.1g),7.08,0.37,0.33,1.05,0.31,0.34,2.1
70,apple,Whole (185g),96.1,0.51,0,21.79,3.74,1.7,185
71,Apple crumble,Slice (146.04g),353.5,5.84,14.85,49.11,6.05,92.18,146.04
72,"Apple Dippers with Caramel Sauce, McDonald's",Packet (89g),32.93,0,0,7,1,2,89
73,Apple juice,Glass (250ml) (250g),100,0,0,24.75,0,7.5,250
74,Apple juice drink,Cup (261g),104.27,0,0,26.36,0,23.49,261
75,"Apple juice drink, with no added sugar",Glass (250ml) (250g),85,0,0,21.25,0.5,10,250
76,Apple pie,Piece (85g),232.05,1.7,13,26,2,190.4,85
77,"Apple pie, McDonald's",Piece (85g),232.05,1.7,13,26,2,190.4,85
78,Apple strudel,Piece (128g),282.88,3.46,13.95,35.97,3.97,138.24,128
79,"Apple, dried",Packet (101g),356.53,0,0.51,77.27,9.9,313.1,101
80,"Apple, green, raw, with peel, core and stalk",Whole (156g),70.73,0.43,0,15.36,3.3,2.87,156
81,"Apple, red, raw, with peel, core and stalk",Whole (185g),96.09,0.51,0,21.79,3.74,1.7,185
82,"Apple, stewed with sugar",Cup (187g),127.83,0.56,0.37,32.35,2.99,3.74,187
83,"Apple, stewed without sugar",Cup (180g),61.95,0.54,0.54,14.76,2.88,3.6,180
84,"Apple, unspecified type, red, raw, with skin",Whole (150g),79.24,0.41,0.28,16.84,3.17,1.38,150
85,"Apples, raw, without skin",Whole (139g),61.38,0.35,0.17,16.32,1.66,0,139
87,"Apricot, canned in artificially sweetened juice",Cup (247g),58.45,1.24,0,12.35,3.21,7.41,247
88,"Apricot, canned in artificially sweetened liquid, drained",One half (17g),4.8,0.14,0,0.66,0.44,0.51,17
89,"Apricot, canned in pear juice",Cup (247g),113.45,1.98,0,20.25,4.45,9.88,247
90,"Apricot, canned in pear juice, drained",Cup (220g),103.14,2.2,0,17.16,6.82,6.6,220
91,"Apricot, canned in syrup",Cup (260g),158.6,1.82,0,33.54,4.42,5.2,260
92,"Apricot, canned in syrup, drained",Cup (220g),135.78,1.98,0,27.06,6.82,4.4,220
93,"Apricot, dried",Packet (202g),521.16,1.62,0.4,127.87,19.59,44.44,202
94,Apricots,Whole (38g),16.96,0.49,0.14,3.93,0.71,0.35,38
95,Aquaresin garlic,Gram (1g),8.54,0,0.95,0.01,0,1.75,1
96,"Artificial sweetener, aspartame",Teaspoon (3.5g),12.78,0.08,0,3.12,0,0,3.5
97,"Artificial sweetener, saccharin",Piece (.09g),0.01,0,0,0,0.01,9.9,0.09
98,"Arugula, raw",Cup (20g),5,0.52,0.13,0.41,0.32,5.4,20
99,"Asparagus, canned, solid and liquid",Stalk (10g),1.41,0.18,0.02,0.22,0.21,34.8,10
100,"Asparagus, fresh, raw",Stick (9.8g),2.09,0.25,0.01,0.14,0.23,0.2,9.8
101,Assam buoy,Teaspoon (3g),5.31,0.03,0.01,1.27,0.11,210.15,3
102,Assam chicken,Plate-16cm (87.35g),191.3,28.04,8.74,0.26,0.7,371.24,87.35
103,Assam fish,Bowl-soup (16 and 1/2 cm) (183.6g),123.31,20.78,3.72,2.03,1.86,532.07,183.6
104,Assam petai (Malay),Plate-16cm (131g),111.35,8.25,6.68,4.32,6.97,320.69,131
105,Assam powder,Tablespoon (15g),35.7,0.14,0,8.76,0.47,1194.6,15
106,Assam prawn,Plate-16cm (124g),136.15,19.84,4.81,3.37,2.44,896.77,124
107,Assam prawn,Plate-23cm (414.5g),369.48,33.16,17.23,20.37,0.26,1684.32,414.5
108,"Athirasam, deep fried",Piece (55g),238.15,1.98,9.52,36.14,0.83,34.65,55
109,Avocado,Whole (272g),322.05,4.03,29.51,17.17,13.49,14.09,272
110,"Avocado juice, with added milk",Glass (250ml) (250g),127.5,2.75,9.5,7.75,2.5,52.5,250
111,Avocado salad,1 serving (100g),51,1.4,3.4,5.2,2.7,28,100
112,Avocado toast,1 serving (76g),190,4,13,17,5,350,76
113,"Avocados, raw, all commercial varieties",Whole (272g),322.05,4.03,29.51,17.17,13.49,14.09,272
114,ayam bakar,Piece (170.82g),286.8,25.33,20.19,0.96,2.14,139.54,170.82
115,Ayam buah keluak,Bowl-soup (16 and 1/2 cm) (662g),810.29,60.18,53.62,21.45,3.57,2889.63,662
116,Ayam kurmah,Bowl-soup (16 and 1/2 cm) (519g),877.11,29.06,66.95,38.93,10.38,1001.67,519
117,Ayam masak lemak cili padi,Bowl-soup (16 and 1/2 cm) (230g),267.89,16.7,21.77,1.31,1.12,376.82,230
118,Ayam masak merah,Plate-16cm (111.6g),89.22,7.62,5.44,2.39,2.61,138.55,111.6
119,Ayam panggang,Piece (170.82g),286.81,25.33,20.19,0.96,2.14,139.54,170.82
120,Ayam penyet with rice,Plate-23cm (499g),935.63,84.28,32.48,77.2,4.44,1591.76,499
121,Ayam sioh,Bowl-soup (16 and 1/2 cm) (385g),517.44,46.57,28.78,18.11,6.14,1361.51,385
123,Ayam tempra,Plate-16cm (137.98g),212.01,17.78,14.49,2.64,2.04,379.33,137.98
124,Ba Mee Moo Daeng,100g,102,4.4,8.6,1.4,0.9,338,100
125,"Baby corn, raw",Cup (145g),42.05,3.34,0.29,8.7,3.92,0,145
126,Bacon and cheese tako ball,Piece (90g),134.1,7.29,3.33,18.81,1.35,380.7,90
127,"Bacon, cooked, baked",Slice (8.1g),44.39,2.89,3.5,0.11,0,177.63,8.1
128,"Bacon, cooked, pan-fried",Slice (7.9g),42.11,3.03,3.18,0.12,0,191.81,7.9
129,"Bacon, raw",Slice (21g),96.18,2.44,9.46,0.14,0,174.93,21
130,Badak berendam,100g,145,1.3,2.4,29.4,0.6,266,100
131,bagel,1 portion (120g),330,12.6,1.92,64.08,2.76,640.8,120
132,baguette,1 portion (136g),393.04,16.05,2.45,76.7,3.26,884,136
133,"Bak kua, beef",Slice (54g),178.74,15.44,3.19,22.09,0,481.68,54
134,"Bak kua, chicken",Slice (45g),175.05,10.89,6.35,18.5,0.95,404.55,45
135,"Bak kua, pork with lean and fat",Piece (75g),300.75,20.03,10.28,32.03,0,732,75
136,"Bak kua, pork, lean",Slice (94g),370.36,36.1,4.04,47.28,1.69,846.94,94
137,"Bak kua, vegetarian",Piece (74g),247.16,13.1,8.21,30.27,3.85,885.78,74
138,Bak kut teh,Bowl-soup (16 and 1/2 cm) (458g),323.71,28.11,23.43,0,0,1316.15,458
139,"Bak kut teh, soup only",Bowl-soup (16 and 1/2 cm) (417g),50.04,2.09,0.42,9.59,0,3807.21,417
140,Baked Chicken Rice,1 portion (444g),794.76,42.62,34.9,77.26,2.66,1349.76,444
141,Baked durian mooncake,Slice (25g),102.35,1.28,5.28,12.44,0.68,46.38,25
142,Baked Fish Rice,1 portion (450g),729,34.2,33.71,72.45,6.75,1399.5,450
143,Baked kueh lapis,Piece (50g),237.3,4,16.9,17.3,0.6,159.5,50
144,Baked lotus paste mooncake,Slice (25g),95.28,1.39,4.33,12.69,0.67,29.18,25
145,Baked otah bun,Whole (67g),190.28,7.1,5.49,28.14,1.34,263.98,67
146,"Baking powder, double-acting",Teaspoon (4.6g),2.44,0,0,1.27,0.01,487.6,4.6
147,Baking soda,Teaspoon (4.6g),0,0,0,0,0,1258.56,4.6
148,Baklava,1 piece (78g),322,4.4,21.2,30.1,1.6,276,78
150,Bakso,1 medium ball (65g),150,6,6,52,0,1128,65
152,bakwan kepiting,Bowl-soup (16 and 1/2 cm) (497g),141.15,14.91,8.85,0.5,1.19,1511.38,497
153,"Bamboo shoot, in coconut milk, stewed (Malay)",Bowl-rice (11and 1/2 cm) (187.1g),108.52,3.93,8.98,2.88,2.75,631.46,187.1
154,"Bamboo shoots, braised, canned, drained",Piece (5.8g),3.77,0.09,0.25,0.28,0.12,44.78,5.8
155,"Bamboo shoots, pickled",Cup (144g),60.48,3.02,0,12.24,2.88,938.88,144
156,"Bamboo shoots, raw",Whole (81g),7.26,0.5,0.14,1,0.18,4.31,81
157,Ban mian soup,Bowl-soup (16 and 1/2 cm) (528g),475.2,21.65,21.65,48.05,3.17,2196.48,528
158,"Ban mian, noodles only",Bowl-soup (16 and 1/2 cm) (334g),283.9,9.35,2.67,55.78,3.34,604.54,334
159,banana,Whole (medium) (50g),38.1,0.54,0.12,8.82,1,3.85,50
160,Banana (pisang mas),Whole (medium) (50g),38.12,0.54,0.12,8.82,1,3.85,50
161,Banana (pisang nangka),Whole (medium) (122g),93,1.08,0.15,21.91,2,16.91,122
162,Banana (pisang rajah udang / merah),Whole (medium) (185g),110.56,1.2,0.4,25.71,3.46,2.66,185
163,Banana (pisang rastali),Whole (small) (43g),31.05,0.52,0.07,7.12,0.85,9.8,43
164,Banana (pisang tanduk),Whole (medium) (352g),348.9,3.55,1.18,81.61,7.69,53.22,352
165,Banana cake,Slice (90g),291.6,5.04,15.66,32.58,1.17,128.7,90
166,Banana chips,1 portion (50g),255.85,1.28,15.41,28.02,2.15,107.95,50
167,Banana flower,Cup (34g),9.52,0.48,0.07,1.5,0.27,20.13,34
168,Banana fritter,Piece (65g),196.95,1.43,5.33,35.88,2.28,103.35,65
169,Banana murtabak,Piece (500g),1185,26.4,53.2,150.7,0,630,500
170,"Banana, raw, unspecified type",Whole (medium) (118g),67.21,0.83,0.25,17.22,1.96,0.76,118
171,Bandung,1 portion (250g),157.5,1,2.5,33,0,17.5,250
172,Barbecued chicken wings,Piece (98g),154.23,14.89,10.58,0,0,325.2,98
173,Barbecued spare ribs,Piece (27.82g),73.08,4.2,5.86,0.92,0,100.8,27.82
174,Barbecued spring chicken,One half (315g),547.28,51.28,37.94,0,0,1076.17,315
175,Barfi,Slice (50g),270.5,2.55,16.7,27.5,0.75,6,50
176,Barilla Arrabbiata Sauce,Tablespoon (15g),9.3,0.23,0.53,0.9,0.3,60,15
177,Barilla Napoletana Sauce,Tablespoon (15g),10.65,0.23,0.56,1.07,0.23,60,15
178,Barley water,Glass (250ml) (237g),54.51,0,0,13.98,0,2.37,237
179,"Barley, pearl, raw",Tablespoon (14g),46.9,1.29,0.18,10.04,1.6,0.28,14
180,Basan cake,Piece (55g),296.45,2.09,18.37,30.8,0.94,3.3,55
181,"Base, beef flavour, natural",Gram (1g),2.32,0.06,0.09,0.31,0,116.5,1
182,"Base, chicken flavour, natural",Gram (1g),2.04,0.06,0.07,0.29,0,109.25,1
183,"Base, shrimp flavour, natural",Gram (1g),2.12,0.12,0.02,0.36,0,90.35,1
184,"Basil Crayfish Pasta, Pizzahut",Whole (360g),482.4,25.2,14.04,65.52,8.28,1710,360
185,"Basil, dry",Teaspoon (1.4g),3.51,0.2,0.06,0.6,0.25,0.48,1.4
186,"Basil, fresh",Tablespoon (2.6g),1.04,0.08,0.02,0.13,0.14,0.23,2.6
187,"Bass, sharptooth, raw",Whole (215g),95.95,20.85,1.34,0,0,54.7,215
188,"Batang, raw",Piece (116g),110.72,20.03,3.47,0,0,95.32,116
189,Bathusa,Piece (56g),284.48,2.52,16.58,31.3,0.56,19.6,56
190,"Batter mix, dry",Gram (1g),3.58,0.08,0.02,0.8,0.02,3.31,1
191,Baulu cermai,Piece (6g),22.8,0.56,0.29,4.48,0.07,4.8,6
192,"Bay leaf, raw",Tablespoon (1.8g),5.63,0.14,0.15,0.88,0.47,0.41,1.8
193,"BBQ Turkey Bacon Double Cheeseburger, Burger King",Whole (221g),623.22,35.36,35.05,38.87,2.87,1180.14,221
194,"Bean paste, fermented, with chilli",Tablespoon (18g),33.13,1.42,1.06,4.46,0.4,396.18,18
195,bean sprouts,Plate-20cm (194.8g),151.9,10.3,10.1,4.8,5.5,422.72,194.8
196,"Bean sprouts, raw",Cup (62.67g),12.6,1.69,0.06,0.88,1,0.63,62.67
197,"Bean, broad, boiled",Cup (170g),100.45,12.58,0.85,4.08,12.92,5.1,170
198,"Bean, broad, raw",Whole (8g),4.27,0.54,0.04,0.17,0.55,0.31,8
199,Beancurd Dessert with Red Bean Toppings,1 portion (392g),164.64,9.8,5.25,19.6,7.45,50.18,392
200,"Beancurd, preserved",Packet (229g),336.63,28.63,18.55,13.74,0,4831.9,229
201,"Beancurd, red, preserved",Whole (7.56g),11.42,0.91,0.61,0.57,0.05,233.68,7.56
202,"Beans broad, coated with satay powder, deep fried",Cup (121g),472.63,22.84,24.41,40.39,11.28,1130.87,121
203,"Beans, baked, canned, plain or vegetarian",Cup (254g),238.76,12.07,0.94,43.28,10.41,871.22,254
205,"Beans, black, mature seeds, cooked, boiled, without salt",Cup (172g),227.04,15.24,0.93,40.78,14.96,1.72,172
206,"Beans, four angled, raw",Cup (62g),17.92,1.49,0.12,2.74,1.25,1.79,62
207,"Beans, french, raw",Cup (82g),22.74,1.87,0.16,2.1,2.41,1.56,82
209,"Beans, kidney, red, mature seeds, raw",Cup (184g),620.08,41.4,2.02,112.79,27.97,22.08,184
210,"Beans, lima, dried",Cup (180g),473.4,38.52,3.06,67.86,31.86,5.4,180
211,"Beans, navy, mature seeds, raw",Cup (208g),705.12,40.96,3.12,131.85,31.82,10.4,208
213,"Beans, soya beans, mature cooked, boiled, without salt",Cup (172g),297.56,28.62,15.43,17.06,10.32,1.72,172
214,"Beansprouts with salted fish, stir fried",Plate-20cm (75.9g),88.8,4.78,7.06,1.62,1.25,690.77,75.9
215,"Beansprouts, mung, boiled, drained",Cup (109.56g),23.01,2.22,0.1,4.59,0.88,10.96,109.56
216,Beef and egg porridge,Bowl-soup (16 and 1/2 cm) (403g),285.32,16.12,19.95,10.36,1.57,1354.08,403
217,Beef and Teriyaki Chicken Bento,1 portion (489g),743.28,43.03,20.88,95.36,10.76,1515.9,489
218,Beef ball kway teow soup,Bowl-soup (16 and 1/2 cm) (550g),627,38.5,14.3,86.35,5.5,1496,550
219,Beef ball soup,Bowl-soup (16 and 1/2 cm) (592g),180.74,19.24,9.06,5.56,1.48,2524.88,592
220,Beef banh mi,Whole (224g),425.6,29.34,14.4,44.8,2.69,965.44,224
221,Beef Bolognese,1 portion (480g),451.2,24,11.81,61.92,12.48,1185.6,480
222,beef bowl,1 portion (385g),527.45,27.72,11.28,78.54,5.78,908.6,385
223,"Beef broth, dried",Cube/Square (3.6g),8.57,0.58,0.32,0.85,0,611.35,3.6
224,Beef burger (2018),Whole (128g),264.96,14.21,11.62,25.86,2.18,529.92,128
225,Beef burger with cheese,Whole (118g),300.12,17,12,32,2.31,690.01,118
226,Beef curry,Piece (90g),130.1,13.1,5.1,7.7,1.3,66.6,90
227,Beef Don,1 portion (385g),527.45,27.72,11.28,78.54,5.78,908.6,385
228,Beef Goulash,1 portion (232g),252.88,30.62,10.9,5.75,1.16,524.32,232
229,Beef hor fun,Plate-23cm (481g),697.45,19.72,26.46,94.76,6.25,1717.17,481
230,Beef in oyster sauce,Plate-20cm (73.01g),141.1,13.2,8.9,2.2,1.2,433.68,73.01
231,Beef in tomato sauce,Piece (85g),168.81,16.69,7.11,9.53,1.22,384.12,85
232,"Beef Lasagne, Pizzahut",Whole (262g),917,58.43,40.61,79.91,13.62,2360.62,262
233,Beef murtabak,Piece (500g),1405,52,69,143.7,0,2335,500
234,beef noodle soup,Bowl-soup (16 and 1/2 cm) (789g),412.15,29.14,5.98,59.91,5.33,3978.37,789
235,"Beef patty, raw",Piece (74g),186.48,16.65,11.69,3.63,0,307.84,74
236,Beef pho,Bowl-soup (16 and 1/2 cm) (790g),355.5,22.12,4.98,56.09,3.95,2204.1,790
237,Beef porridge,Bowl-soup (16 and 1/2 cm) (370g),217.93,12.95,8.73,21.9,1.04,878.01,370
238,beef rendang,1 portion (267g),596.03,68.09,34.44,3.74,7.48,1337.67,267
239,Beef satay,Stick (12g),28.74,2.92,0.88,2.3,0,27.96,12
240,Beef serunding (Malay),Plate-16cm (226.08g),729.33,33.64,62.49,8.09,11.87,1518.58,226.08
241,"Beef shin, with vegetable",Plate-20cm (272.22g),280.39,25.32,16.61,7.89,6.53,1107.94,272.22
242,Beef stomach noodles,Bowl-soup (16 and 1/2 cm) (293g),398.48,31.64,12.01,41.02,5.27,1004.99,293
243,Beef Taco,1 portion (78g),184.08,8.42,10.51,11.19,2.81,348.66,78
244,Beef tartare,1 serving (100g),127,4,18,0,0,100,100
245,"Beef udon, soup",Bowl-soup (16 and 1/2 cm) (632g),458.83,24.52,15.8,54.6,3.35,2051.47,632
246,"Beef, blade steak, grilled, lean and fat",Whole (160g),227.65,36.6,8.88,0,0,55.2,160
247,"Beef, blade steak, grilled, lean only",Whole (160g),183.01,35.39,4.48,0,0,53.76,160
248,"Beef, blade steak, raw, lean and fat",Whole (230g),330,40.57,18.74,0,0,100.46,230
249,"Beef, blade steak, raw, lean only",Whole (230g),198.22,38.81,4.54,0,0,97.89,230
250,"Beef, boneless, unspecified cut, cooked, lean only",Cup (190g),345.8,59.47,11.97,0,0,114,190
251,"Beef, boneless, unspecified cut, raw, lean and fat",Cup (215g),388.77,42.14,24.65,0,0,113.78,215
252,"Beef, boneless, unspecified cut, raw, lean only",Cup (215g),257.96,46.44,7.96,0,0,124.7,215
253,"Beef, brisket, corned, boiled , lean and fat",Whole (45g),133.03,10.94,10,0,0,352.26,45
254,"Beef, brisket, corned, boiled, lean only",Whole (45g),68.76,10.08,3.14,0,0,304.56,45
255,"Beef, brisket, corned, raw, lean and fat",Whole (575g),1087.54,92.86,76.48,0,0,5784.79,575
256,"Beef, brisket, corned, raw, lean only",Whole (575g),408.16,85.39,6.9,0,0,5304.38,575
257,"Beef, chuck steak, raw, lean and fat",Cup (215g),377.18,45.26,21.9,0,0,118.87,215
258,"Beef, chuck steak, raw, lean only",Cup (189g),205.7,38.25,5.65,0,0,103.12,189
259,"Beef, chuck steak, simmered, lean and fat",Cup (190g),457.6,59.47,24.47,0,0,82.16,190
260,"Beef, chuck steak, simmered, lean only",Cup (156g),259.57,47.2,7.68,0,0,62.68,156
261,"Beef, cooked in soya sauce, simmered (Malay)",Bowl-soup (16 and 1/2 cm) (256.36g),243.29,20.2,13.74,9.69,4.77,984.68,256.36
262,"Beef, cooked in turmeric sauce, ginger, simmered (Malay)",Plate-16cm (159.88g),222.71,28.47,10.65,3.23,4.65,786.13,159.88
263,"Beef, cooked with coconut milk, garlic, ginger, simmered (Malay)",Plate-20cm (283.4g),612.14,41.09,47.24,5.67,5.81,590.04,283.4
264,"Beef, corned, canned, lean and fat",Slice (50g),100.36,11.8,5.85,0.15,0,595,50
265,"Beef, fillet, grilled, lean and fat",Whole (80g),158.01,23.58,7.07,0,0,36.86,80
266,"Beef, fillet, grilled, lean only",Whole (80g),124.21,22.2,3.83,0,0,34.1,80
267,"Beef, fillet, raw, lean and fat",Whole (115g),191.16,24.23,10.48,0,0,61.99,115
268,"Beef, fillet, raw, lean only",Whole (115g),138,22.47,5.26,0,0,57.68,115
269,"Beef, fried, malay style",1 portion (85g),289.29,26.44,13.18,15.98,2.13,104.55,85
270,"Beef, liver, boiled",Piece (4.44g),7.15,1.08,0.22,0.15,0,3.11,4.44
271,"Beef, minced, raw",Cup (240g),425.45,48.24,25.92,0,0,153.6,240
272,"Beef, minced, regular, simmered, drained",Cup (170g),310.42,40.12,16.66,0,0,96.9,170
273,"Beef, rendang with soya sauce, simmered (Malay)",Plate-16cm (138.18g),312.7,30.32,19.61,3.76,1.98,960.21,138.18
274,"Beef, rib steak, grilled, lean and fat",Whole (180g),390.6,34.08,28.51,0,0,71.28,180
275,"Beef, rib steak, grilled, lean only",Whole (180g),181.22,32.11,5.75,0,0,61.56,180
276,"Beef, rib steak, raw, lean and fat",Whole (250g),527.54,37.06,42.73,0,0,91.13,250
277,"Beef, rib steak, raw, lean only",Whole (250g),191.23,34.02,5.99,0,0,83.48,250
278,"Beef, ribeye steak, grilled, lean and fat",Whole (115g),277.48,31.02,17.19,0,0,48.65,115
279,"Beef, ribeye steak, grilled, lean only",Whole (115g),186.62,29.52,7.54,0,0,44.32,115
280,"Beef, ribeye steak, raw, lean and fat",Whole (165g),299.34,33.07,18.65,0,0,67.4,165
281,"Beef, ribeye steak, raw, lean only",Whole (165g),184.18,32.02,6.1,0,0,63.76,165
282,"Beef, round steak, grilled, lean and fat",Piece (265g),441.38,82.15,12.19,0,0,111.3,265
283,"Beef, round steak, grilled, lean only",Whole (265g),366.5,79.21,4.98,0,0,107.11,265
284,"Beef, round steak, raw, lean and fat",Whole (380g),516.38,76,22.8,0,0,182.4,380
285,"Beef, round steak, raw, lean only",Whole (380g),351.28,73.42,5.94,0,0,174.8,380
286,"Beef, rump steak, grilled, lean and fat",Whole (205g),432.9,59.46,21.48,0,0,81.53,205
287,"Beef, rump steak, grilled, lean only",Whole (205g),295.98,55.76,7.84,0,0,74.93,205
288,"Beef, rump steak, raw, lean and fat",Whole (320g),617.7,59.88,42.45,0,0,145.73,320
289,"Beef, rump steak, raw, lean only",Whole (320g),279.05,52.88,7.26,0,0,129.6,320
290,"Beef, silverside roast, raw, semi-trimmed",Whole (1091g),1304.56,227.54,43.2,0,0,412.83,1091
291,"Beef, silverside, baked, lean and fat",Slice (45g),95.88,13.04,4.84,0,0,20.29,45
292,"Beef, silverside, baked, lean only",Slice (45g),66.51,12.62,1.72,0,0,18.68,45
293,"Beef, silverside, corned, boiled, lean and fat",Slice (45g),91.63,9.95,5.81,0,0,576.9,45
294,"Beef, silverside, corned, boiled, lean only",Slice (45g),50.81,9.51,1.37,0,0,555.93,45
