food_id|attribute|value1|value2
A125|Iron|4.20|mg
A125|Thiamin|0.69|mg
A125|Riboflavin|0.11|mg
A125|Niacin|2.40|mg
A125|Fatty acids, total saturated|0.20|g
A125|Fatty acids, total monounsaturated|0.15|g
A125|Fatty acids, total polyunsaturated|0.64|g
A125|Fatty acids, total omega-3 polyunsaturated|0.04|g
A125|Fatty acids, total omega-6 polyunsaturated|0.60|g
A31|thai_name|ข้าวเหนียว, ข้าวกล้อง, ดิบ|
A31|english_name|Rice, brown, glutinous, raw|
A31|scientific_name|Oryza glutinosa|
A31|base_weight|Per 100 g|
A31|Energy, by calculation|365|kcal
A31|Moisture|10.5|g
A31|Protein, total|8.32|g
A31|Fat, total|3.15|g
A31|Carbohydrate, available|74.78|g
A31|Dietary fibre|1.9|g
A31|Ash|1.35|g
A31|Calcium|16|mg
A31|Phosphorus|272|mg
A31|Sodium|15|mg
A31|Potassium|280|mg
A31|Iron|1.45|mg
A31|Thiamin|0.42|mg
A31|Riboflavin|0.04|mg
A31|Niacin|2.10|mg
A31|Sugars, total|0.80|g
A31|Fatty acids, total saturated|0.72|g
A31|Fatty acids, total monounsaturated|1.04|g
A31|Fatty acids, total polyunsaturated|1.05|g
A31|Fatty acids, total omega-3 polyunsaturated|0.07|g
A31|Fatty acids, total omega-6 polyunsaturated|0.98|g
A22|thai_name|ข้าวเหนียว, ดิบ|
A22|english_name|Rice, glutinous, polished, raw|
A22|scientific_name|Oryza glutinosa|
A22|base_weight|Per 100 g|
A22|Energy, by calculation|354|kcal
A22|Moisture|11.7|g
A22|Protein, total|6.30|g
A22|Fat, total|0.62|g
A22|Carbohydrate, available|80.49|g
A22|Dietary fibre|0.5|g
A22|Ash|0.41|g
A22|Calcium|7|mg
A22|Phosphorus|66|mg
A22|Sodium|12|mg
A22|Iron|2.20|mg
A22|Thiamin|0.08|mg
A22|Riboflavin|0.03|mg
A22|Niacin|1.83|mg
A23|thai_name|ข้าวเหนียว, นึ่ง|
A23|english_name|Rice, glutinous, polished, steamed|
A23|scientific_name|Oryza glutinosa|
A23|base_weight|Per 100 g|
A23|Energy, by calculation|232|kcal
A23|Moisture|41.9|g
A23|Protein, total|4.54|g
A23|Fat, total|0.21|g
A23|Carbohydrate, available|52.91|g
A23|Dietary fibre|0.3|g
A23|Ash|0.19|g
A23|Calcium|3|mg
A23|Phosphorus|12|mg
A23|Magnesium|7|mg
A23|Sodium|13|mg
A23|Potassium|13|mg
A23|Iron|1.04|mg
A23|Copper|0.09|mg
A23|Zinc|1.08|mg
A23|Thiamin|0.07|mg
A23|Riboflavin|0.10|mg
A23|Niacin|2.35|mg
A23|Fatty acids, total saturated|0.05|g
A23|Fatty acids, total monounsaturated|0.05|g
A23|Fatty acids, total polyunsaturated|0.07|g
A23|Fatty acids, total omega-6 polyunsaturated|0.07|g
A24|thai_name|ข้าวเหนียวดำ, ดิบ|
A24|english_name|Rice, glutinous, black variety, raw|
A24|scientific_name|Oryza glutinosa|
A24|base_weight|Per 100 g|
A24|Energy, by calculation|350|kcal
A24|Moisture|12.5|g
A24|Protein, total|7.46|g
A24|Fat, total|2.87|g
A24|Carbohydrate, available|71.09|g
A24|Dietary fibre|4.9|g
A24|Ash|1.17|g
A24|Calcium|22|mg
A24|Phosphorus|189|mg
A24|Magnesium|71|mg
A24|Potassium|265|mg
A24|Iron|2.83|mg
A24|Zinc|2.50|mg
A24|b-carotene|16|mcg
A24|Vitamin A; retinol activity equivalent|1|mcg
A24|Thiamin|0.48|mg
A24|Riboflavin|0.19|mg
A24|Niacin|0.60|mg
A24|Fatty acids, total saturated|0.50|g
A24|Fatty acids, total monounsaturated|1.01|g
A24|Fatty acids, total polyunsaturated|1.09|g
A24|Fatty acids, total omega-3 polyunsaturated|0.06|g
A24|Fatty acids, total omega-6 polyunsaturated|1.03|g
A32|thai_name|ข้าวเหนียวดำ, นึ่ง|
A32|english_name|Rice, glutinous, black variety, steamed|
A32|scientific_name|Oryza glutinosa|
A32|base_weight|Per 100 g|
A32|Energy, by calculation|215|kcal
A32|Moisture|46.4|g
A32|Protein, total|4.24|g
A32|Fat, total|1.07|g
A32|Carbohydrate, available|46.21|g
A32|Dietary fibre|1.8|g
A32|Ash|0.24|g
A32|Magnesium|9|mg
A32|Potassium|18|mg
A32|Iron|0.56|mg
A32|Zinc|0.59|mg
A32|Thiamin|0.04|mg
A32|Riboflavin|0.02|mg
A32|Niacin|1.24|mg
A32|Sugars, total|0.16|g
A126|thai_name|ข้าวโอ๊ต, ดิบ|
A126|english_name|Oats, raw|
A126|scientific_name|Avena sativa|
A126|base_weight|Per 100 g|
A126|Energy, by calculation|361|kcal
A126|Moisture|10.6|g
A126|Protein, total|10.80|g
A126|Fat, total|5.90|g
A126|Carbohydrate, available|61.35|g
A126|Dietary fibre|9.9|g
A126|Ash|1.50|g
A126|Calcium|43|mg
A126|Phosphorus|282|mg
A126|Iron|6.50|mg
A126|Thiamin|0.59|mg
A126|Riboflavin|0.10|mg
A126|Niacin|4.10|mg
A126|Fatty acids, total saturated|1.03|g
A126|Fatty acids, total monounsaturated|2.30|g
A126|Fatty acids, total polyunsaturated|1.92|g
A126|Fatty acids, total omega-3 polyunsaturated|0.08|g
A126|Fatty acids, total omega-6 polyunsaturated|1.84|g
A25|thai_name|จมูกข้าวสาลี|
A25|english_name|Wheat germ|
A25|scientific_name|Ricitum sativum|
A25|base_weight|Per 100 g|
A25|Energy, by calculation|385|kcal
A25|Moisture|5.5|g
A25|Protein, total|32.56|g
A25|Fat, total|10.94|g
A25|Carbohydrate, available|31.85|g
A25|Dietary fibre|14.6|g
A25|Ash|4.53|g
A25|Phosphorus|947|mg
A25|Iron|6.80|mg
A25|Thiamin|3.03|mg
A25|Riboflavin|0.74|mg
A25|Niacin|3.80|mg
A25|Vitamin C|1|mg
A25|Fatty acids, total saturated|1.76|g
A25|Fatty acids, total monounsaturated|1.65|g
A25|Fatty acids, total polyunsaturated|6.71|g
A25|Fatty acids, total omega-3 polyunsaturated|0.66|g
A25|Fatty acids, total omega-6 polyunsaturated|6.05|g
A37|thai_name|รำข้าว, คั่ว|
A37|english_name|Rice bran, roasted|
A37|scientific_name|Oryza sativa|
A37|base_weight|Per 100 g|
A37|Energy, by calculation|397|kcal
A37|Moisture|2.0|g
A37|Protein, total|14.00|g
A37|Fat, total|21.40|g
A37|Carbohydrate, available|21.00|g
A37|Dietary fibre|32.4|g
A37|Ash|9.20|g
A37|Fatty acids, total saturated|4.17|g
A37|Fatty acids, total monounsaturated|8.25|g
A37|Fatty acids, total polyunsaturated|7.03|g
A37|Fatty acids, total omega-3 polyunsaturated|0.51|g
A37|Fatty acids, total omega-6 polyunsaturated|6.52|g
A94|thai_name|ลูกเดือย, ดิบ|
A94|english_name|Job's tears, seeds, raw|
A94|scientific_name|Coix lacrymajobi|
A94|base_weight|Per 100 g|
A94|Energy, by calculation|363|kcal
A94|Moisture|10.1|g
A94|Protein, total|14.08|g
A94|Fat, total|3.17|g
A94|Carbohydrate, available|67.81|g
A94|Dietary fibre|3.5|g
A94|Ash|1.30|g
A94|Calcium|19|mg
A94|Phosphorus|256|mg
A94|Iron|6.40|mg
A94|Thiamin|0.36|mg
A94|Riboflavin|0.10|mg
A94|Niacin|2.60|mg
A94|Vitamin C|17|mg
A39|thai_name|ลูกเดือย, ต้ม|
A39|english_name|Job's tears, seeds, boiled|
A39|scientific_name|Coix lacrymajobi|
A39|base_weight|Per 100 g|
A39|Energy, by calculation|147|kcal
A39|Moisture|65.2|g
A39|Protein, total|4.59|g
A39|Fat, total|2.38|g
A39|Carbohydrate, available|26.53|g
A39|Dietary fibre|0.8|g
A39|Ash|0.50|g
A39|Magnesium|50|mg
A39|Potassium|56|mg
A39|Iron|1.40|mg
A39|Zinc|1.38|mg
A39|Thiamin|0.05|mg
A39|Riboflavin|0.01|mg
A39|Niacin|0.14|mg
A39|Sugars, total|0.47|g
A43|thai_name|ก๋วยจั๊บ, เส้น, ต้มสุก|
A43|english_name|Pasta, Chinese, squares shape sheet, roled (kuay-jap), boiled|
A43|scientific_name|Oryza sativa|
A43|base_weight|Per 100 g|
A43|Energy, by calculation|133|kcal
A43|Moisture|66.5|g
A43|Protein, total|1.67|g
A43|Fat, total|0.08|g
A43|Carbohydrate, available|31.10|g
A43|Dietary fibre|0.4|g
A43|Ash|0.18|g
A43|Calcium|6|mg
A43|Phosphorus|29|mg
A43|Sodium|20|mg
A43|Potassium|6|mg
A43|Iron|0.13|mg
A43|Zinc|0.11|mg
A43|Niacin|0.06|mg
A44|thai_name|ก๋วยจั๊บญวน, เส้น, ต้มสุก|
A44|english_name|Noodles, Vietnamese, cooked|
A44|scientific_name|Oryza sativa|
A44|base_weight|Per 100 g|
A44|Energy, by calculation|116|kcal
A44|Moisture|70.7|g
A44|Protein, total|1.37|g
A44|Fat, total|0.18|g
A44|Carbohydrate, available|26.83|g
A44|Dietary fibre|0.8|g
A44|Ash|0.09|g
A44|Calcium|10|mg
A44|Phosphorus|35|mg
A44|Magnesium|1|mg
A44|Sodium|16|mg
A44|Potassium|5|mg
A44|Iron|0.15|mg
A44|Zinc|0.12|mg
A44|Niacin|0.04|mg
A128|thai_name|ก๋วยเตี๋ยว, ผัดไทย, กึ่งสำเร็จรูป|
A128|english_name|Rice noodles,stir fried with pad-thai sauce (Guay-teaw pad-thai )|
A128|scientific_name|-|
A128|base_weight|Per 100 g|
A128|Energy, by calculation|270|kcal
A128|Moisture|27.5|g
A128|Protein, total|4.47|g
A128|Fat, total|0.40|g
A128|Carbohydrate, available|61.40|g
A128|Dietary fibre|1.4|g
A128|Ash|4.80|g
A128|Calcium|55|mg
A128|Sodium|992|mg
A128|Iron|1.23|mg
A128|Thiamin|0.20|mg
A128|Riboflavin|0.01|mg
A128|Sugars, total|17.30|g
A3|thai_name|ก๋วยเตี๋ยวเส้นเล็ก, สด|
A3|english_name|Noodles, rice, narrow-sized strip, fresh|
A3|scientific_name|Oryza sativa|
A3|base_weight|Per 100 g|
A3|Energy, by calculation|234|kcal
A3|Moisture|42.3|g
A3|Protein, total|4.07|g
A3|Fat, total|0.95|g
A3|Carbohydrate, available|51.97|g
A3|Dietary fibre|0.5|g
A3|Ash|0.20|g
A3|Calcium|12|mg
A3|Phosphorus|22|mg
A3|Sodium|95|mg
A3|Iron|1.65|mg
A3|Riboflavin|0.01|mg
A3|Niacin|0.60|mg
A5|thai_name|ก๋วยเตี๋ยวเส้นเล็ก, อบ/ตาก, แห้ง (เส้นจันท์)|
A5|english_name|Noodles, rice, dried, narrow-sized strip Chanthaburi noodles (Sen-Jan)|
A5|scientific_name|Oryza sativa|
A5|base_weight|Per 100 g|
A5|Total energy - by calculation|349|kcal
A5|Moisture|12.9|g
A5|Protein, total|5.45|g
A5|Fat, total|0.30|g
A5|Carbohydrate, total|81.10|g
A5|Ash|0.30|g
A5|Calcium|29|mg
A5|Phosphorus|73|mg
A5|Iron|5.90|mg
A5|Niacin|0.70|mg
A46|thai_name|ก๋วยเตี๋ยวเส้นเล็ก, อบแห้ง|
A46|english_name|Noodles, rice, dried, narrow-sized strip|
A46|scientific_name|Oryza sativa|
A46|base_weight|Per 100 g|
A46|Energy, by calculation|359|kcal
A46|Moisture|9.4|g
A46|Protein, total|5.67|g
A46|Fat, total|0.50|g
A46|Carbohydrate, available|82.57|g
A46|Dietary fibre|0.9|g
A46|Ash|1.00|g
A46|Calcium|7|mg
A46|Sodium|25|mg
A46|Iron|0.83|mg
A46|Fatty acids, total saturated|1.61|g
A47|thai_name|ก๋วยเตี๋ยวเส้นเล็ก, อบแห้ง พร้อมเครื่องปรุง|
A47|english_name|Noodles, rice, dried, narrow-sized strip, with seasoning|
A47|scientific_name|Oryza sativa|
A47|base_weight|Per 100 g|
A47|Energy, by calculation|362|kcal
A47|Moisture|6.7|g
A47|Protein, total|6.33|g
A47|Fat, total|6.07|g
A47|Carbohydrate, available|69.57|g
A47|Dietary fibre|1.9|g
A47|Ash|9.43|g
A47|Calcium|21|mg
A47|Sodium|2,382|mg
A47|Iron|0.67|mg
A47|Thiamin|0.28|mg
A47|Riboflavin|0.01|mg
A47|Sugars, total|3.53|g
A4|thai_name|ก๋วยเตี๋ยวเส้นใหญ่, สด|
A4|english_name|Noodles, rice, big-sized strip, fresh|
A4|scientific_name|Oryza sativa|
A4|base_weight|Per 100 g|
A4|Energy, by calculation|155|kcal
A4|Moisture|63.0|g
A4|Protein, total|2.87|g
A4|Fat, total|1.71|g
A4|Carbohydrate, available|31.60|g
A4|Dietary fibre|0.7|g
A4|Ash|0.11|g
A4|Calcium|7|mg
A4|Phosphorus|24|mg
A4|Sodium|79|mg
A4|Potassium|86|mg
A4|Iron|1.98|mg
A4|Niacin|0.30|mg
A4|Fatty acids, total saturated|0.54|g
A7|thai_name|เกี๊ยวกึ่งสำเร็จรูป, พร้อมเครื่องปรุง รสต่างๆ|
A7|english_name|Wonton, instant, with seasoning, various flavours|
A7|scientific_name|-|
A7|base_weight|Per 100 g|
A7|Energy, by calculation|403|kcal
A7|Moisture|3.1|g
A7|Protein, total|10.00|g
A7|Fat, total|15.54|g
A7|Carbohydrate, available|55.47|g
A7|Dietary fibre|0.4|g
A7|Ash|15.50|g
A7|Calcium|68|mg
A7|Sodium|3,873|mg
A7|Iron|2.40|mg
A7|Sugars, total|5.03|g
A8|thai_name|ขนมจีน|
A8|english_name|Noodles, rice, fermented (kanom-jeen)|
A8|scientific_name|Oryza sativa|
A8|base_weight|Per 100 g|
A8|Energy, by calculation|103|kcal
A8|Moisture|74.4|g
A8|Protein, total|1.43|g
A8|Fat, total|0.31|g
A8|Carbohydrate, available|23.42|g
A8|Dietary fibre|0.3|g
A8|Ash|0.16|g
A8|Calcium|16|mg
A8|Phosphorus|10|mg
A8|Sodium|47|mg
A8|Potassium|10|mg
A8|Thiamin|0.60|mg
A89|thai_name|ข้าวกล้องสำเร็จรูป, บรรจุกระป๋อง|
A89|english_name|Rice, brown, cooked, canned|
A89|scientific_name|-|
A89|base_weight|Per 100 g|
A89|Energy, by calculation|202|kcal
A89|Moisture|50.1|g
A89|Protein, total|1.00|g
A89|Fat, total|1.80|g
A89|Carbohydrate, available|44.40|g
A89|Dietary fibre|2.2|g
A89|Ash|0.50|g
A89|Calcium|8|mg
A89|Sodium|26|mg
A89|Iron|0.40|mg
A89|Thiamin|0.14|mg
A90|thai_name|ข้าวขาวสำเร็จรูป, บรรจุกระป๋อง|
A90|english_name|Rice, polished, cooked, canned|
A90|scientific_name|-|
A90|base_weight|Per 100 g|
A90|Energy, by calculation|122|kcal
A90|Moisture|69.8|g
A90|Protein, total|1.00|g
A90|Fat, total|0.30|g
A90|Carbohydrate, available|28.60|g
A90|Dietary fibre|0.2|g
A90|Ash|0.10|g
A90|Calcium|3|mg
A90|Sodium|8|mg
A90|Iron|0.10|mg
A90|Thiamin|0.02|mg
A57|thai_name|ข้าวโพด, ครีม, บรรจุกระป๋อง|
A57|english_name|Corn, cream style, canned|
A57|scientific_name|-|
A57|base_weight|Per 100 g|
A57|Energy, by calculation|54|kcal
A57|Moisture|85.2|g
A57|Protein, total|1.35|g
A57|Fat, total|0.70|g
A57|Carbohydrate, available|9.25|g
A57|Dietary fibre|2.5|g
A57|Ash|1.00|g
A57|Sodium|198|mg
A57|Iron|0.35|mg
A57|Sugars, total|4.25|g
A55|thai_name|ข้าวโพด, เมล็ด, ในน้ำเกลือ, บรรจุกระป๋อง|
A55|english_name|Corn, sweet, whole kernel, canned in brine|
A55|scientific_name|-|
A55|base_weight|Per 100 g|
A55|Energy, by calculation|79|kcal
A55|Moisture|79.6|g
