food_id|attribute|value
ER074|Fosfor (P)| : 30 mg
ER074|Besi (Fe)| : 0.2 mg
ER074|Natrium (Na)| : 10 mg
ER074|Kalium (K)| : 0.0 mg
ER074|Tembaga (Cu)| : 0.20 mg
ER074|Seng (Zn)| : 0.2 mg
ER074|Beta-Karoten (Carotenes)| : 37 mcg
ER074|Thiamin (Vit. B1)| : 0.05 mg
ER074|Riboflavin (Vit. B2)| : 0.11 mg
ER074|Niasin (Niacin)| : 0.1 mg
ER074|Vitamin C (Vit. C)| : 9 mg
DR072|food_name|Ambon cassave leaves, fresh
DR072|food_group|Vegetables
DR072|food_type|Raw
DR072|base_weight|100 g
DR072|base_weight_edible|Edible weight 87 %
DR072|Air (Water)| : 58.0 g
DR072|Energi (Energy)| : 144 Kal
DR072|Protein (Protein)| : 12.7 g
DR072|Lemak (Fat)| : 1.2 g
DR072|Karbohidrat (CHO)| : 25.2 g
DR072|Serat (Fibre)| : 10.2 g
DR072|Abu (ASH)| : 2.9 g
DR072|Kalsium (Ca)| : 165 mg
DR072|Fosfor (P)| : 54 mg
DR072|Besi (Fe)| : 3.9 mg
DR072|Natrium (Na)| : 44 mg
DR072|Kalium (K)| : 62.2 mg
DR072|Tembaga (Cu)| : 0.20 mg
DR072|Seng (Zn)| : 5.4 mg
DR072|Beta-Karoten (Carotenes)| : 8,627 mcg
DR072|Karoten Total (Re)| : 13,000 mcg
DR072|Thiamin (Vit. B1)| : 0.21 mg
DR072|Riboflavin (Vit. B2)| : 1.00 mg
DR072|Niasin (Niacin)| : 4.2 mg
DR072|Vitamin C (Vit. C)| : 220 mg
DR054|food_name|Ambon matel leaves, fresh
DR054|food_group|Vegetables
DR054|food_type|Raw
DR054|base_weight|100 g
DR054|base_weight_edible|Edible weight 100 %
DR054|Air (Water)| : 77.1 g
DR054|Energi (Energy)| : 71 Kal
DR054|Protein (Protein)| : 6.8 g
DR054|Lemak (Fat)| : 1.6 g
DR054|Karbohidrat (CHO)| : 11.5 g
DR054|Serat (Fibre)| : 4.6 g
DR054|Abu (ASH)| : 3.0 g
DR054|Kalsium (Ca)| : 93 mg
DR054|Fosfor (P)| : 95 mg
DR054|Besi (Fe)| : 10.2 mg
DR054|Retinol (Vit. A)| : 0 mcg
DR054|Karoten Total (Re)| : 49 mcg
DR054|Thiamin (Vit. B1)| : 0.08 mg
DR054|Vitamin C (Vit. C)| : 26 mg
DR050|food_name|American black nightshade leaves, fresh
DR050|food_group|Vegetables
DR050|food_type|Raw
DR050|base_weight|100 g
DR050|base_weight_edible|Edible weight 70 %
DR050|Air (Water)| : 85.0 g
DR050|Energi (Energy)| : 49 Kal
DR050|Protein (Protein)| : 4.7 g
DR050|Lemak (Fat)| : 0.5 g
DR050|Karbohidrat (CHO)| : 8.1 g
DR050|Abu (ASH)| : 1.7 g
DR050|Kalsium (Ca)| : 210 mg
DR050|Fosfor (P)| : 80 mg
DR050|Besi (Fe)| : 6.1 mg
DR050|Karoten Total (Re)| : 1,900 mcg
DR050|Thiamin (Vit. B1)| : 0.14 mg
DR050|Vitamin C (Vit. C)| : 40 mg
AP026|food_name|Amparan tatak
AP026|food_group|Cereals
AP026|food_type|Processed/Products
AP026|base_weight|100 g
AP026|base_weight_edible|Edible weight 100 %
AP026|Air (Water)| : 58.4 g
AP026|Energi (Energy)| : 191 Kal
AP026|Protein (Protein)| : 1.3 g
AP026|Lemak (Fat)| : 5.5 g
AP026|Karbohidrat (CHO)| : 34.0 g
AP026|Abu (ASH)| : 0.8 g
DR073|food_name|Ampenan cassava leaves, fresh
DR073|food_group|Vegetables
DR073|food_type|Raw
DR073|base_weight|100 g
DR073|base_weight_edible|Edible weight 87 %
DR073|Air (Water)| : 84.4 g
DR073|Energi (Energy)| : 50 Kal
DR073|Protein (Protein)| : 6.2 g
DR073|Lemak (Fat)| : 1.1 g
DR073|Karbohidrat (CHO)| : 7.1 g
DR073|Serat (Fibre)| : 2.4 g
DR073|Abu (ASH)| : 1.2 g
DR073|Kalsium (Ca)| : 352 mg
DR073|Fosfor (P)| : 123 mg
DR073|Besi (Fe)| : 2.7 mg
DR073|Natrium (Na)| : 49 mg
DR073|Kalium (K)| : 570.0 mg
DR073|Tembaga (Cu)| : 0.20 mg
DR073|Seng (Zn)| : 1.3 mg
DR073|Beta-Karoten (Carotenes)| : 7,917 mcg
DR073|Thiamin (Vit. B1)| : 0.50 mg
DR073|Riboflavin (Vit. B2)| : 0.10 mg
DR073|Niasin (Niacin)| : 1.6 mg
DR073|Vitamin C (Vit. C)| : 103 mg
GP041|food_name|Anchovy, dried, raw
GP041|food_group|Fish and Other Seafood
GP041|food_type|Processed/Products
GP041|base_weight|100 g
GP041|base_weight_edible|Edible weight -
GP041|Air (Water)| : 15.0 g
GP041|Energi (Energy)| : 277 Kal
GP041|Protein (Protein)| : 60.0 g
GP041|Lemak (Fat)| : 2.3 g
GP041|Karbohidrat (CHO)| : 1.8 g
GP041|Serat (Fibre)| : 0.0 g
GP041|Abu (ASH)| : 20.9 g
GP041|Kalsium (Ca)| : 1,209 mg
GP041|Fosfor (P)| : 1,225 mg
GP041|Besi (Fe)| : 3.0 mg
GP041|Retinol (Vit. A)| : 90 mcg
GP041|Thiamin (Vit. B1)| : 0.10 mg
GP041|Vitamin C (Vit. C)| : 0 mg
GP042|food_name|Anchovy, dried, unsalted, raw
GP042|food_group|Fish and Other Seafood
GP042|food_type|Processed/Products
GP042|base_weight|100 g
GP042|base_weight_edible|Edible weight -
GP042|Air (Water)| : 37.8 g
GP042|Energi (Energy)| : 170 Kal
GP042|Protein (Protein)| : 33.4 g
GP042|Lemak (Fat)| : 3.0 g
GP042|Karbohidrat (CHO)| : 0.0 g
GP042|Serat (Fibre)| : 0.0 g
GP042|Abu (ASH)| : 25.8 g
GP042|Kalsium (Ca)| : 1,200 mg
GP042|Fosfor (P)| : 1,500 mg
GP042|Besi (Fe)| : 3.6 mg
GP042|Retinol (Vit. A)| : 64 mcg
GP042|Thiamin (Vit. B1)| : 0.15 mg
GP042|Vitamin C (Vit. C)| : 0 mg
GR078|food_name|Anchovy, fresh
GR078|food_group|Fish and Other Seafood
GR078|food_type|Raw
GR078|base_weight|100 g
GR078|base_weight_edible|Edible weight -
GR078|Air (Water)| : 80.9 g
GR078|Energi (Energy)| : 217 Kal
GR078|Protein (Protein)| : 11.0 g
GR078|Lemak (Fat)| : 1.7 g
GR078|Karbohidrat (CHO)| : 5.1 g
GR078|Abu (ASH)| : 1.3 g
GR078|Kalsium (Ca)| : 20 mg
GR078|Fosfor (P)| : 390 mg
GR078|Besi (Fe)| : 10.9 mg
GR078|Natrium (Na)| : 3 mg
GR078|Kalium (K)| : 7.0 mg
GR078|Tembaga (Cu)| : 0.20 mg
GR078|Seng (Zn)| : 2.7 mg
GR078|Thiamin (Vit. B1)| : 0.45 mg
GR078|Riboflavin (Vit. B2)| : 0.07 mg
GP043|food_name|Anchovy, ground, raw
GP043|food_group|Fish and Other Seafood
GP043|food_type|Processed/Products
GP043|base_weight|100 g
GP043|base_weight_edible|Edible weight -
GP043|Air (Water)| : 16.7 g
GP043|Energi (Energy)| : 331 Kal
GP043|Protein (Protein)| : 68.7 g
GP043|Lemak (Fat)| : 4.2 g
GP043|Karbohidrat (CHO)| : 0.0 g
GP043|Serat (Fibre)| : 0.0 g
GP043|Abu (ASH)| : 10.4 g
GP043|Kalsium (Ca)| : 2,381 mg
GP043|Fosfor (P)| : 1,500 mg
GP043|Besi (Fe)| : 23.4 mg
GP043|Retinol (Vit. A)| : 61 mcg
GP043|Thiamin (Vit. B1)| : 0.10 mg
GP043|Vitamin C (Vit. C)| : 0 mg
GP040|food_name|Anchovy, ground, raw
GP040|food_group|Fish and Other Seafood
GP040|food_type|Processed/Products
GP040|base_weight|100 g
GP040|base_weight_edible|Edible weight -
GP040|Air (Water)| : 34.5 g
GP040|Energi (Energy)| : 144 Kal
GP040|Protein (Protein)| : 32.5 g
GP040|Lemak (Fat)| : 0.6 g
GP040|Karbohidrat (CHO)| : 0.0 g
GP040|Serat (Fibre)| : 0.0 g
GP040|Abu (ASH)| : 32.4 g
GP040|Kalsium (Ca)| : 1,000 mg
GP040|Fosfor (P)| : 1,000 mg
GP040|Besi (Fe)| : 3.0 mg
GP040|Natrium (Na)| : 312 mg
GP040|Retinol (Vit. A)| : 61 mcg
GP040|Thiamin (Vit. B1)| : 0.10 mg
GP040|Vitamin C (Vit. C)| : 0 mg
DR003|food_name|Andaliman, fresh
DR003|food_group|Vegetables
DR003|food_type|Raw
DR003|base_weight|100 g
DR003|base_weight_edible|Edible weight 100 %
DR003|Air (Water)| : 74.2 g
DR003|Energi (Energy)| : 99 Kal
DR003|Protein (Protein)| : 4.6 g
DR003|Lemak (Fat)| : 1.0 g
DR003|Karbohidrat (CHO)| : 18.0 g
DR003|Serat (Fibre)| : 8.5 g
DR003|Abu (ASH)| : 2.2 g
DR003|Kalsium (Ca)| : 383 mg
DR003|Fosfor (P)| : 107 mg
DR003|Besi (Fe)| : 2.9 mg
DR003|Retinol (Vit. A)| : 0 mcg
DR003|Karoten Total (Re)| : 6,300 mcg
DR003|Thiamin (Vit. B1)| : 3.00 mg
DR003|Vitamin C (Vit. C)| : 15 mg
DR058|food_name|Angled loofah leaves, fresh
DR058|food_group|Vegetables
DR058|food_type|Raw
DR058|base_weight|100 g
DR058|base_weight_edible|Edible weight 65 %
DR058|Air (Water)| : 93.0 g
DR058|Energi (Energy)| : 22 Kal
DR058|Protein (Protein)| : 1.0 g
DR058|Lemak (Fat)| : 0.1 g
DR058|Karbohidrat (CHO)| : 5.3 g
DR058|Serat (Fibre)| : 2.0 g
DR058|Abu (ASH)| : 0.6 g
DR058|Kalsium (Ca)| : 21 mg
DR058|Fosfor (P)| : 44 mg
DR058|Besi (Fe)| : 2.0 mg
DR058|Natrium (Na)| : 40 mg
DR058|Kalium (K)| : 295.5 mg
DR058|Tembaga (Cu)| : 0.10 mg
DR058|Seng (Zn)| : 0.2 mg
DR058|Beta-Karoten (Carotenes)| : 855 mcg
DR058|Karoten Total (Re)| : 1,000 mcg
DR058|Thiamin (Vit. B1)| : 0.08 mg
DR058|Riboflavin (Vit. B2)| : 0.10 mg
DR058|Niasin (Niacin)| : 0.8 mg
DR058|Vitamin C (Vit. C)| : 150 mg
DR083|food_name|Angled loofah, fresh
DR083|food_group|Vegetables
DR083|food_type|Raw
DR083|base_weight|100 g
DR083|base_weight_edible|Edible weight 85 %
DR083|Air (Water)| : 94.5 g
DR083|Energi (Energy)| : 19 Kal
DR083|Protein (Protein)| : 0.8 g
DR083|Lemak (Fat)| : 0.2 g
DR083|Karbohidrat (CHO)| : 4.1 g
DR083|Serat (Fibre)| : 1.3 g
DR083|Abu (ASH)| : 0.4 g
DR083|Kalsium (Ca)| : 19 mg
DR083|Fosfor (P)| : 33 mg
DR083|Besi (Fe)| : 0.9 mg
DR083|Natrium (Na)| : 23 mg
DR083|Kalium (K)| : 109.1 mg
DR083|Tembaga (Cu)| : 0.00 mg
DR083|Seng (Zn)| : 0.1 mg
DR083|Beta-Karoten (Carotenes)| : 17 mcg
DR083|Karoten Total (Re)| : 380 mcg
DR083|Thiamin (Vit. B1)| : 0.03 mg
DR083|Riboflavin (Vit. B2)| : 0.00 mg
DR083|Niasin (Niacin)| : 0.4 mg
DR083|Vitamin C (Vit. C)| : 8 mg
ER075|food_name|Angleng banana (ampyang banana), fresh
ER075|food_group|Fruits
ER075|food_type|Raw
ER075|base_weight|100 g
ER075|base_weight_edible|Edible weight 75 %
ER075|Air (Water)| : 80.3 g
ER075|Energi (Energy)| : 68 Kal
ER075|Protein (Protein)| : 1.3 g
ER075|Lemak (Fat)| : 0.2 g
ER075|Karbohidrat (CHO)| : 17.2 g
ER075|Serat (Fibre)| : 0.8 g
ER075|Abu (ASH)| : 1.0 g
ER075|Kalsium (Ca)| : 10 mg
ER075|Fosfor (P)| : 26 mg
ER075|Besi (Fe)| : 0.6 mg
ER075|Natrium (Na)| : 23 mg
ER075|Kalium (K)| : 215.7 mg
ER075|Tembaga (Cu)| : 0.04 mg
ER075|Seng (Zn)| : 0.0 mg
ER075|Beta-Karoten (Carotenes)| : 9 mcg
ER075|Karoten Total (Re)| : 76 mcg
ER075|Thiamin (Vit. B1)| : 0.08 mg
ER075|Riboflavin (Vit. B2)| : 0.05 mg
ER075|Niasin (Niacin)| : 2.5 mg
ER075|Vitamin C (Vit. C)| : 6 mg
DP023|food_name|Anyang, vegetables
DP023|food_group|Vegetables
DP023|food_type|Processed/Products
DP023|base_weight|100 g
DP023|base_weight_edible|Edible weight 100 %
DP023|Air (Water)| : 76.9 g
DP023|Energi (Energy)| : 126 Kal
DP023|Protein (Protein)| : 3.4 g
DP023|Lemak (Fat)| : 7.9 g
DP023|Karbohidrat (CHO)| : 10.3 g
DP023|Serat (Fibre)| : 5.4 g
DP023|Abu (ASH)| : 1.5 g
DP023|Kalsium (Ca)| : 180 mg
DP023|Fosfor (P)| : 1 mg
DP023|Besi (Fe)| : 2.9 mg
DP023|Natrium (Na)| : 290 mg
DP023|Kalium (K)| : 181.0 mg
DP023|Tembaga (Cu)| : 0.30 mg
DP023|Seng (Zn)| : 1.2 mg
DP023|Beta-Karoten (Carotenes)| : 3,263 mcg
DP023|Thiamin (Vit. B1)| : 0.20 mg
AP027|food_name|Apang, steamed, kue
AP027|food_group|Cereals
AP027|food_type|Processed/Products
AP027|base_weight|100 g
AP027|base_weight_edible|Edible weight 100 %
AP027|Air (Water)| : 49.5 g
AP027|Energi (Energy)| : 202 Kal
AP027|Protein (Protein)| : 3.0 g
AP027|Lemak (Fat)| : 0.3 g
AP027|Karbohidrat (CHO)| : 46.7 g
AP027|Abu (ASH)| : 0.5 g
AP028|food_name|Apem, kue
AP028|food_group|Cereals
AP028|food_type|Processed/Products
AP028|base_weight|100 g
AP028|base_weight_edible|Edible weight 100 %
AP028|Air (Water)| : 63.1 g
AP028|Energi (Energy)| : 148 Kal
AP028|Protein (Protein)| : 2.0 g
AP028|Lemak (Fat)| : 0.5 g
AP028|Karbohidrat (CHO)| : 33.9 g
AP028|Abu (ASH)| : 0.5 g
ER004|food_name|Apple, fresh
ER004|food_group|Fruits
ER004|food_type|Raw
ER004|base_weight|100 g
ER004|base_weight_edible|Edible weight 88 %
ER004|Air (Water)| : 84.1 g
ER004|Energi (Energy)| : 58 Kal
ER004|Protein (Protein)| : 0.3 g
ER004|Lemak (Fat)| : 0.4 g
ER004|Karbohidrat (CHO)| : 14.9 g
ER004|Serat (Fibre)| : 2.6 g
ER004|Abu (ASH)| : 0.3 g
ER004|Kalsium (Ca)| : 6 mg
ER004|Fosfor (P)| : 10 mg
ER004|Besi (Fe)| : 0.3 mg
ER004|Natrium (Na)| : 2 mg
ER004|Kalium (K)| : 130.0 mg
ER004|Tembaga (Cu)| : 124.20 mg
ER004|Seng (Zn)| : 0.3 mg
ER004|Beta-Karoten (Carotenes)| : 30 mcg
ER004|Karoten Total (Re)| : 90 mcg
ER004|Thiamin (Vit. B1)| : 0.04 mg
ER004|Riboflavin (Vit. B2)| : 0.03 mg
ER004|Niasin (Niacin)| : 0.1 mg
ER004|Vitamin C (Vit. C)| : 5 mg
DP024|food_name|Ares, vegetables
DP024|food_group|Vegetables
DP024|food_type|Processed/Products
DP024|base_weight|100 g
DP024|base_weight_edible|Edible weight 100 %
DP024|Air (Water)| : 77.7 g
DP024|Energi (Energy)| : 113 Kal
DP024|Protein (Protein)| : 0.9 g
DP024|Lemak (Fat)| : 7.2 g
DP024|Karbohidrat (CHO)| : 11.2 g
DP024|Serat (Fibre)| : 4.7 g
DP024|Abu (ASH)| : 3.0 g
DP024|Kalsium (Ca)| : 63 mg
DP024|Fosfor (P)| : 5 mg
DP024|Besi (Fe)| : 1.5 mg
DP024|Natrium (Na)| : 1,413 mg
DP024|Kalium (K)| : 1,030.0 mg
DP024|Tembaga (Cu)| : 0.70 mg
DP024|Seng (Zn)| : 3.8 mg
DP024|Beta-Karoten (Carotenes)| : 6 mcg
DP024|Thiamin (Vit. B1)| : 0.10 mg
DP024|Niasin (Niacin)| : 0.5 mg
BP064|food_name|Arrowroot, flour
BP064|food_group|Starchy Roots & Tubers
BP064|food_type|Processed/Products
BP064|base_weight|100 g
BP064|base_weight_edible|Edible weight 100 %
BP064|Air (Water)| : 13.6 g
BP064|Energi (Energy)| : 355 Kal
BP064|Protein (Protein)| : 0.7 g
BP064|Lemak (Fat)| : 0.2 g
BP064|Karbohidrat (CHO)| : 85.2 g
BP064|Serat (Fibre)| : 0.4 g
BP064|Abu (ASH)| : 0.3 g
BP064|Kalsium (Ca)| : 8 mg
BP064|Fosfor (P)| : 22 mg
BP064|Besi (Fe)| : 1.5 mg
BP064|Natrium (Na)| : 2 mg
BP064|Kalium (K)| : 10.7 mg
BP064|Tembaga (Cu)| : 0.00 mg
BP064|Seng (Zn)| : 0.1 mg
BP064|Beta-Karoten (Carotenes)| : 20 mcg
BP064|Karoten Total (Re)| : 3 mcg
BP064|Thiamin (Vit. B1)| : 0.09 mg
BP064|Riboflavin (Vit. B2)| : 0.00 mg
BP064|Niasin (Niacin)| : 0.0 mg
BP064|Vitamin C (Vit. C)| : 0 mg
BR001|food_name|Arrowroot, fresh
BR001|food_group|Starchy Roots & Tubers
BR001|food_type|Raw
BR001|base_weight|100 g
BR001|base_weight_edible|Edible weight 100 %
BR001|Air (Water)| : 73.5 g
BR001|Energi (Energy)| : 102 Kal
BR001|Protein (Protein)| : 1.0 g
BR001|Lemak (Fat)| : 0.2 g
BR001|Karbohidrat (CHO)| : 24.1 g
BR001|Serat (Fibre)| : 1.7 g
BR001|Abu (ASH)| : 1.2 g
BR001|Kalsium (Ca)| : 28 mg
BR001|Fosfor (P)| : 35 mg
BR001|Besi (Fe)| : 1.7 mg
BR001|Natrium (Na)| : 36 mg
BR001|Kalium (K)| : 626.6 mg
BR001|Tembaga (Cu)| : 0.20 mg
BR001|Seng (Zn)| : 0.8 mg
BR001|Retinol (Vit. A)| : 0 mcg
BR001|Beta-Karoten (Carotenes)| : 15 mcg
BR001|Karoten Total (Re)| : 0 mcg
BR001|Thiamin (Vit. B1)| : 0.06 mg
BR001|Riboflavin (Vit. B2)| : 0.10 mg
BR001|Niasin (Niacin)| : 2.3 mg
BR001|Vitamin C (Vit. C)| : 2 mg
DP025|food_name|Arwan sisir
DP025|food_group|Vegetables
DP025|food_type|Processed/Products
DP025|base_weight|100 g
DP025|base_weight_edible|Edible weight 100 %
DP025|Air (Water)| : 59.0 g
DP025|Energi (Energy)| : 277 Kal
DP025|Protein (Protein)| : 2.4 g
DP025|Lemak (Fat)| : 25.0 g
DP025|Karbohidrat (CHO)| : 10.7 g
DP025|Serat (Fibre)| : 4.6 g
DP025|Abu (ASH)| : 2.9 g
DP025|Kalsium (Ca)| : 120 mg
DP025|Fosfor (P)| : 40 mg
DP025|Besi (Fe)| : 2.4 mg
DP025|Natrium (Na)| : 240 mg
DP025|Kalium (K)| : 320.0 mg
DP025|Tembaga (Cu)| : 0.20 mg
DP025|Seng (Zn)| : 0.9 mg
DP025|Beta-Karoten (Carotenes)| : 1,578 mcg
DP025|Thiamin (Vit. B1)| : 0.10 mg
DP025|Riboflavin (Vit. B2)| : 0.20 mg
DP025|Niasin (Niacin)| : 0.0 mg
DP025|Vitamin C (Vit. C)| : 11 mg
NR001|food_name|Asam arang coklat, fresh
NR001|food_group|Herbs and Spices
NR001|food_type|Raw
NR001|base_weight|100 g
NR001|base_weight_edible|Edible weight -
NR001|Air (Water)| : 66.1 g
NR001|Energi (Energy)| : 130 Kal
NR001|Protein (Protein)| : 0.5 g
NR001|Lemak (Fat)| : 1.1 g
NR001|Karbohidrat (CHO)| : 30.9 g
NR001|Serat (Fibre)| : 1.5 g
NR001|Abu (ASH)| : 1.4 g
NR001|Kalsium (Ca)| : 79 mg
NR001|Fosfor (P)| : 113 mg
NR001|Besi (Fe)| : 4.3 mg
NR001|Natrium (Na)| : 13 mg
NR001|Tembaga (Cu)| : 0.00 mg
NR001|Beta-Karoten (Carotenes)| : 745 mcg
NR001|Karoten Total (Re)| : 0 mcg
NR001|Thiamin (Vit. B1)| : 0.01 mg
NR001|Riboflavin (Vit. B2)| : 0.20 mg
NR001|Niasin (Niacin)| : 0.0 mg
NR001|Vitamin C (Vit. C)| : 0 mg
NR002|food_name|Asam arang merah, fresh
NR002|food_group|Herbs and Spices
NR002|food_type|Raw
NR002|base_weight|100 g
NR002|base_weight_edible|Edible weight -
NR002|Air (Water)| : 75.9 g
NR002|Energi (Energy)| : 99 Kal
NR002|Protein (Protein)| : 0.8 g
NR002|Lemak (Fat)| : 1.6 g
NR002|Karbohidrat (CHO)| : 20.3 g
NR002|Serat (Fibre)| : 2.8 g
NR002|Abu (ASH)| : 1.4 g
NR002|Kalsium (Ca)| : 69 mg
NR002|Fosfor (P)| : 300 mg
NR002|Besi (Fe)| : 4.6 mg
NR002|Natrium (Na)| : 2 mg
NR002|Kalium (K)| : 95.7 mg
NR002|Tembaga (Cu)| : 0.00 mg
NR002|Seng (Zn)| : 0.1 mg
NR002|Beta-Karoten (Carotenes)| : 529 mcg
NR002|Karoten Total (Re)| : 0 mcg
NR002|Thiamin (Vit. B1)| : 0.01 mg
NR002|Riboflavin (Vit. B2)| : 0.34 mg
NR002|Niasin (Niacin)| : 1.6 mg
NR002|Vitamin C (Vit. C)| : 0 mg
NR003|food_name|Asam gelugur, dried
NR003|food_group|Herbs and Spices
NR003|food_type|Raw
NR003|base_weight|100 g
NR003|base_weight_edible|Edible weight 100 %
NR003|Air (Water)| : 32.2 g
NR003|Energi (Energy)| : 261 Kal
NR003|Protein (Protein)| : 0.9 g
NR003|Lemak (Fat)| : 1.6 g
NR003|Karbohidrat (CHO)| : 63.3 g
NR003|Serat (Fibre)| : 5.0 g
NR003|Abu (ASH)| : 2.0 g
NR003|Kalsium (Ca)| : 192 mg
NR003|Fosfor (P)| : 657 mg
NR003|Besi (Fe)| : 4.4 mg
NR003|Natrium (Na)| : 26 mg
NR003|Kalium (K)| : 341.4 mg
NR003|Tembaga (Cu)| : 0.40 mg
NR003|Seng (Zn)| : 0.3 mg
NR003|Beta-Karoten (Carotenes)| : 0 mcg
NR003|Karoten Total (Re)| : 0 mcg
NR003|Thiamin (Vit. B1)| : 0.00 mg
NR003|Riboflavin (Vit. B2)| : 0.00 mg
NR003|Niasin (Niacin)| : 0.4 mg
NR003|Vitamin C (Vit. C)| : 0 mg
NR004|food_name|Asam gelugur, fresh
NR004|food_group|Herbs and Spices
NR004|food_type|Raw
NR004|base_weight|100 g
NR004|base_weight_edible|Edible weight -
NR004|Air (Water)| : 81.5 g
NR004|Energi (Energy)| : 75 Kal
NR004|Protein (Protein)| : 0.2 g
NR004|Lemak (Fat)| : 1.1 g
NR004|Karbohidrat (CHO)| : 16.1 g
NR004|Serat (Fibre)| : 3.4 g
NR004|Abu (ASH)| : 1.1 g
NR004|Kalsium (Ca)| : 63 mg
NR004|Fosfor (P)| : 139 mg
NR004|Besi (Fe)| : 2.5 mg
NR004|Natrium (Na)| : 93 mg
NR004|Kalium (K)| : 93.2 mg
NR004|Tembaga (Cu)| : 0.10 mg
NR004|Seng (Zn)| : 0.1 mg
NR004|Beta-Karoten (Carotenes)| : 41 mcg
NR004|Karoten Total (Re)| : 0 mcg
NR004|Thiamin (Vit. B1)| : 0.01 mg
NR004|Riboflavin (Vit. B2)| : 0.00 mg
NR004|Niasin (Niacin)| : 0.1 mg
NR004|Vitamin C (Vit. C)| : 0 mg
ER016|food_name|Asam paya, fresh
ER016|food_group|Fruits
ER016|food_type|Raw
ER016|base_weight|100 g
ER016|base_weight_edible|Edible weight -
ER016|Air (Water)| : 79.4 g
ER016|Energi (Energy)| : 78 Kal
ER016|Protein (Protein)| : 0.6 g
ER016|Lemak (Fat)| : 0.3 g
ER016|Karbohidrat (CHO)| : 18.2 g
ER016|Abu (ASH)| : 1.5 g
ER016|Kalsium (Ca)| : 1 mg
ER016|Fosfor (P)| : 7 mg
ER016|Besi (Fe)| : 3.4 mg
ER016|Natrium (Na)| : 7 mg
ER016|Kalium (K)| : 495.0 mg
ER016|Tembaga (Cu)| : 0.30 mg
ER016|Seng (Zn)| : 0.7 mg
ER016|Thiamin (Vit. B1)| : 0.12 mg
ER016|Riboflavin (Vit. B2)| : 0.00 mg
ER016|Vitamin C (Vit. C)| : 5 mg
NR006|food_name|Asam payak, fresh
NR006|food_group|Herbs and Spices
NR006|food_type|Raw
NR006|base_weight|100 g
NR006|base_weight_edible|Edible weight -
NR006|Air (Water)| : 65.1 g
NR006|Energi (Energy)| : 135 Kal
NR006|Protein (Protein)| : 0.8 g
NR006|Lemak (Fat)| : 0.4 g
NR006|Karbohidrat (CHO)| : 32.1 g
NR006|Serat (Fibre)| : 10.0 g
NR006|Abu (ASH)| : 1.6 g
NR006|Kalsium (Ca)| : 60 mg
NR006|Fosfor (P)| : 39 mg
NR006|Besi (Fe)| : 5.7 mg
NR006|Natrium (Na)| : 0 mg
NR006|Karoten Total (Re)| : 0 mcg
NR006|Thiamin (Vit. B1)| : 0.00 mg
NR006|Vitamin C (Vit. C)| : 0 mg
DR006|food_name|Ash gourd, fresh
